date,Weekday,GrafMoltkeStrEast,GrafMoltkeStrWest,HastedterBrStr,LangemarckStrEast,LangemarckStrWest,Osterdeich,RadwegKleineWeser,SchwachhauserRing,WachmannStrAusSouth,WachmannStrEinNorth,WilhelmKaisenBrEast,WilhelmKaisenBrWest,Total,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Holiday,Vacation
2013-01-01,1,261.0,290.0,381.0,312.0,308.0,870.0,410.0,391.0,514.0,267.0,1228.0,563.0,5795.0,6.9,3.5,9.1,6.9,0.0,233.0,19.4,50.4,1001.8,0,Neujahr,Weihnachtsferien
2013-01-02,2,750.0,876.0,1109.0,1258.0,1120.0,2169.0,1762.0,829.0,1786.0,1456.0,4024.0,2355.0,19494.0,5.6,4.2,7.1,1.8,0.0,246.0,20.2,40.0,1017.5,30,,Weihnachtsferien
2013-01-03,3,931.0,1015.0,1603.0,1556.0,1480.0,2295.0,2287.0,1196.0,2412.0,2035.0,5013.0,3028.0,24851.0,8.6,6.0,10.6,0.9,0.0,257.0,23.8,45.7,1024.5,0,,Weihnachtsferien
2013-01-04,4,500.0,587.0,1284.0,703.0,626.0,1640.0,1548.0,1418.0,964.0,702.0,2382.0,1121.0,13475.0,8.8,6.8,9.7,0.0,0.0,276.0,25.2,48.2,1029.5,0,,Weihnachtsferien
2013-01-05,5,1013.0,1011.0,1284.0,1856.0,1621.0,4128.0,4256.0,3075.0,2065.0,1377.0,5736.0,3221.0,30643.0,7.7,6.5,8.6,0.1,0.0,293.0,20.2,41.0,1029.9,0,,Weihnachtsferien
2013-01-06,6,819.0,905.0,1284.0,1602.0,1215.0,4128.0,1891.0,1181.0,2023.0,1601.0,4456.0,2477.0,23582.0,7.2,5.7,8.5,0.4,0.0,283.0,19.4,40.7,1026.6,0,,
2013-01-07,0,1123.0,1318.0,3070.0,2637.0,2268.0,3240.0,3964.0,1181.0,3410.0,2727.0,6766.0,4542.0,36246.0,6.6,5.5,7.5,0.0,0.0,244.0,9.0,23.8,1026.6,0,,
2013-01-08,1,1321.0,1584.0,4673.0,3082.0,2694.0,4957.0,5925.0,2009.0,4123.0,3177.0,8372.0,5091.0,47008.0,7.1,6.3,7.7,6.9,0.0,246.0,14.4,31.3,1022.3,0,,
2013-01-09,2,766.0,835.0,1647.0,1287.0,1246.0,2371.0,2172.0,2347.0,1681.0,1199.0,3780.0,2271.0,21602.0,6.6,2.9,7.8,4.6,0.0,257.0,16.2,31.0,1016.6,0,,
2013-01-10,3,1358.0,1545.0,3097.0,2755.0,2525.0,4087.0,4409.0,1304.0,3300.0,3172.0,7638.0,4963.0,40153.0,3.1,0.2,5.1,1.2,0.0,303.0,16.9,44.6,1010.8,0,,
2013-01-11,4,1360.0,1498.0,2334.0,2319.0,2145.0,3340.0,3540.0,1049.0,3383.0,2997.0,6865.0,4122.0,34952.0,-0.7,-3.6,0.8,0.0,0.0,313.0,9.4,23.8,1016.2,24,,
2013-01-12,5,528.0,487.0,684.0,798.0,737.0,1688.0,1116.0,705.0,1109.0,739.0,2644.0,1406.0,12641.0,-3.3,-6.3,1.3,0.0,0.0,8.0,4.3,14.0,1019.7,444,,
2013-01-13,6,408.0,490.0,671.0,521.0,501.0,1351.0,850.0,629.0,772.0,511.0,2110.0,1127.0,9941.0,-1.7,-4.1,-0.5,0.2,10.0,58.0,11.2,24.5,1020.4,0,,
2013-01-14,0,573.0,644.0,1310.0,1091.0,1089.0,1937.0,1556.0,874.0,1554.0,1207.0,3482.0,2052.0,17369.0,-4.2,-8.9,-3.5,0.0,20.0,115.0,10.4,23.0,1014.2,0,,
