date,GrafMoltkeStrEast,GrafMoltkeStrWest,HastedterBrStr,LangemarckStrEast,LangemarckStrWest,Osterdeich,RadwegKleineWeser,SchwachhauserRing,WachmannStrAusSouth,WachmannStrEinNorth,WilhelmKaisenBrEast,WilhelmKaisenBrWest
2013-01-01,261.0,290.0,381.0,312.0,308.0,870.0,410.0,391,514.0,267.0,1228,563.0
2013-01-02,750.0,876.0,1109.0,1258.0,1120.0,2169.0,1762.0,829,1786.0,1456.0,4024,2355.0
2013-01-03,931.0,1015.0,1603.0,1556.0,1480.0,2295.0,2287.0,1196,2412.0,2035.0,5013,3028.0
2013-01-04,500.0,587.0,1284.0,703.0,626.0,1640.0,1548.0,1418,964.0,702.0,2382,1121.0
2013-01-05,1013.0,1011.0,0.0,1856.0,1621.0,4128.0,4256.0,3075,2065.0,1377.0,5736,3221.0
2013-01-06,819.0,905.0,0.0,1602.0,1215.0,0.0,1891.0,1181,2023.0,1601.0,4456,2477.0
2013-01-07,1123.0,1318.0,3070.0,2637.0,2268.0,3240.0,3964.0,0,3410.0,2727.0,6766,4542.0
2013-01-08,1321.0,1584.0,4673.0,3082.0,2694.0,4957.0,5925.0,2009,4123.0,3177.0,8372,5091.0
2013-01-09,766.0,835.0,1647.0,1287.0,1246.0,2371.0,2172.0,2347,1681.0,1199.0,3780,2271.0
2013-01-10,1358.0,1545.0,3097.0,2755.0,2525.0,4087.0,4409.0,1304,3300.0,3172.0,7638,4963.0
2013-01-11,1360.0,1498.0,2334.0,2319.0,2145.0,3340.0,3540.0,1049,3383.0,2997.0,6865,4122.0
2013-01-12,528.0,487.0,684.0,798.0,737.0,1688.0,1116.0,705,1109.0,739.0,2644,1406.0
2013-01-13,408.0,490.0,671.0,521.0,501.0,1351.0,850.0,629,772.0,511.0,2110,1127.0
2013-01-14,573.0,644.0,1310.0,1091.0,1089.0,1937.0,1556.0,874,1554.0,1207.0,3482,2052.0
2013-01-15,615.0,655.0,1343.0,1169.0,1156.0,2047.0,1466.0,772,1556.0,1251.0,3678,2105.0
2013-01-16,708.0,809.0,1425.0,1273.0,1188.0,2532.0,1588.0,848,1769.0,1361.0,4024,2312.0
2013-01-17,827.0,889.0,1514.0,1370.0,1366.0,2685.0,1626.0,950,1993.0,1652.0,4200,2511.0
2013-01-18,743.0,805.0,1400.0,1281.0,1251.0,2452.0,1608.0,880,1784.0,1508.0,3943,2318.0
2013-01-19,543.0,696.0,854.0,724.0,626.0,1696.0,681.0,596,998.0,818.0,2640,1322.0
2013-01-20,375.0,390.0,562.0,433.0,445.0,1072.0,546.0,583,579.0,440.0,1781,914.0
2013-01-21,416.0,454.0,1109.0,911.0,940.0,1626.0,1166.0,662,1266.0,1075.0,2837,1746.0
2013-01-22,300.0,314.0,924.0,688.0,728.0,1629.0,338.0,686,970.0,728.0,2218,1317.0
2013-01-23,414.0,466.0,1034.0,839.0,859.0,1973.0,384.0,713,1181.0,939.0,2679,1611.0
2013-01-24,461.0,578.0,1184.0,995.0,1024.0,2306.0,377.0,751,1458.0,1163.0,3313,1889.0
2013-01-25,467.0,557.0,1208.0,968.0,875.0,2286.0,405.0,744,1335.0,1097.0,3225,1845.0
2013-01-26,273.0,290.0,561.0,431.0,434.0,964.0,172.0,423,710.0,553.0,1656,912.0
2013-01-27,208.0,216.0,283.0,259.0,314.0,706.0,133.0,243,372.0,250.0,1118,538.0
2013-01-28,726.0,803.0,1279.0,1252.0,1177.0,3112.0,879.0,816,1840.0,1472.0,4267,2471.0
2013-01-29,892.0,967.0,1681.0,1566.0,1487.0,2915.0,2102.0,1169,2395.0,1896.0,5275,3020.0
2013-01-30,756.0,859.0,1251.0,1242.0,1167.0,2191.0,1930.0,882,1821.0,1477.0,4082,2471.0
2013-01-31,780.0,832.0,1081.0,1312.0,1179.0,2029.0,1764.0,883,1896.0,1503.0,4060,2536.0
2013-02-01,554.0,640.0,1209.0,1224.0,1088.0,1847.0,1754.0,733,1784.0,1474.0,3569,2267.0
2013-02-02,626.0,674.0,880.0,894.0,756.0,1752.0,1411.0,684,1465.0,1154.0,3512,1918.0
2013-02-03,672.0,920.0,1169.0,945.0,797.0,2351.0,1321.0,797,1412.0,1131.0,3826,1903.0
