Zeitpunkt ('Y-m-d H:i:s');Graf-Moltke-Straße (Ostseite);Graf-Moltke-Straße (Westseite);Hastedter Brückenstraße;Langemarckstraße (Ostseite);Langemarckstraße (Westseite);Osterdeich;Radweg Kleine Weser;Schwachhauser Ring;Wachmannstraße auswärts (Süd);Wachmannstraße einwärts (Nord);Wilhelm-Kaisen-Brücke (Ost);Wilhelm-Kaisen-Brücke (West)
01.01.2013 00:00;261;290;381;312;308;870;410;391;514;267;1228;563
02.01.2013 00:00;554;640;1209;1224;1088;1847;1754;733;1784;1474;3569;2267
03.01.2013 00:00;602;688;1066;1199;1098;1793;1680;737;1715;1351;3484;2222
04.01.2013 00:00;741;796;1217;1297;1110;2003;1857;842;1903;1585;4003;2496
05.01.2013 00:00;602;687;916;928;752;1621;1362;743;1318;1095;3139;1786
06.01.2013 00:00;496;497;680;549;522;1700;970;695;845;646;2291;1031
07.01.2013 00:00;937;1094;2019;1877;1876;3008;2999;1322;2810;2304;5619;3526
08.01.2013 00:00;835;954;1600;1598;1569;2723;2631;1086;2287;1850;4871;3002
09.01.2013 00:00;852;974;1612;1557;1504;2659;2511;1130;2279;1818;4878;2797
10.01.2013 00:00;919;1034;1622;1672;1642;2690;2588;1080;2354;1905;5387;3002
11.01.2013 00:00;965;1077;1718;1697;1555;2702;2625;1093;2376;2028;5517;3200
12.01.2013 00:00;664;739;1073;965;900;1935;1501;949;1460;1176;3386;1978
13.01.2013 00:00;408;490;671;521;501;1351;850;629;772;511;2110;1127
14.01.2013 00:00;573;644;1310;1091;1089;1937;1556;874;1554;1207;3482;2052
15.01.2013 00:00;615;655;1343;1169;1156;2047;1466;772;1556;1251;3678;2105
16.01.2013 00:00;708;809;1425;1273;1188;2532;1588;848;1769;1361;4024;2312
17.01.2013 00:00;827;889;1514;1370;1366;2685;1626;950;1993;1652;4200;2511
18.01.2013 00:00;743;805;1400;1281;1251;2452;1608;880;1784;1508;3943;2318
19.01.2013 00:00;543;696;854;724;626;1696;681;596;998;818;2640;1322
20.01.2013 00:00;375;390;562;433;445;1072;546;583;579;440;1781;914
21.01.2013 00:00;416;454;1109;911;940;1626;1166;662;1266;1075;2837;1746
22.01.2013 00:00;300;314;924;688;728;1629;338;686;970;728;2218;1317
23.01.2013 00:00;414;466;1034;839;859;1973;384;713;1181;939;2679;1611
24.01.2013 00:00;461;578;1184;995;1024;2306;377;751;1458;1163;3313;1889
25.01.2013 00:00;467;557;1208;968;875;2286;405;744;1335;1097;3225;1845
26.01.2013 00:00;273;290;561;431;434;964;172;423;710;553;1656;912
27.01.2013 00:00;208;216;283;259;314;706;133;243;372;250;1118;538
28.01.2013 00:00;726;803;1279;1252;1177;3112;879;816;1840;1472;4267;2471
29.01.2013 00:00;892;967;1681;1566;1487;2915;2102;1169;2395;1896;5275;3020
30.01.2013 00:00;756;859;1251;1242;1167;2191;1930;882;1821;1477;4082;2471
31.01.2013 00:00;780;832;1081;1312;1179;2029;1764;883;1896;1503;4060;2536
01.02.2013 00:00;750;876;1109;1258;1120;2169;1762;829;1786;1456;4024;2355
02.02.2013 00:00;626;674;880;894;756;1752;1411;684;1465;1154;3512;1918
03.02.2013 00:00;359;389;517;480;449;971;724;641;662;524;1760;984
04.02.2013 00:00;716;845;1291;1285;1279;2252;2106;920;1939;1568;4156;2645
05.02.2013 00:00;595;663;1084;1051;1055;2112;1628;742;1540;1185;3478;1983
06.02.2013 00:00;818;881;1533;1437;1374;2405;2140;967;2101;1686;4617;2830
07.02.2013 00:00;867;934;1461;1553;1400;2573;2080;1080;2203;1844;4556;2732
08.02.2013 00:00;771;896;1409;1526;1275;2235;2075;969;2026;1735;4565;2756
09.02.2013 00:00;534;608;777;816;698;1491;1027;704;1153;934;2611;1467
10.02.2013 00:00;428;442;818;570;565;1469;1093;798;807;581;2130;1143
11.02.2013 00:00;818;893;1715;1549;1417;2191;2318;1033;2316;1868;4461;2875
12.02.2013 00:00;895;989;1648;1562;1470;2392;2350;1081;2298;1910;4701;2846
13.02.2013 00:00;872;988;1616;1587;1503;2479;2368;1190;2306;1855;4808;2907
14.02.2013 00:00;928;999;1582;1665;1538;2294;2366;1096;2397;1946;4775;3007
15.02.2013 00:00;659;672;1193;1188;1134;1991;1568;782;1553;1326;3745;2136
16.02.2013 00:00;635;777;959;778;664;2158;1151;727;1223;966;3306;1489
17.02.2013 00:00;422;472;714;570;555;1223;1007;718;894;634;2107;1154
18.02.2013 00:00;944;1057;1914;1761;1536;2571;2677;1236;2608;2127;5223;2733
19.02.2013 00:00;914;956;1504;1529;1447;2438;2434;966;2284;1811;5014;2734
20.02.2013 00:00;882;977;1647;1601;1480;2428;2390;1220;2274;1911;4980;2783
21.02.2013 00:00;934;1038;1659;1604;1541;2453;2207;1090;2438;1975;4834;2926
22.02.2013 00:00;728;851;1242;1310;1192;1913;1816;818;1761;1475;4121;2422
23.02.2013 00:00;522;591;705;813;640;1337;859;573;1088;877;2625;1502
24.02.2013 00:00;314;313;417;420;416;938;483;342;605;396;1592;737
25.02.2013 00:00;854;960;1539;1485;1476;2167;2399;1034;2329;1929;4700;2949
26.02.2013 00:00;953;1080;1706;1503;1596;2583;2686;1221;2525;2082;5292;3109
27.02.2013 00:00;943;1080;1739;1595;1582;2499;2655;1263;2602;2063;5283;3059
28.02.2013 00:00;925;1057;1756;1630;1671;2536;2419;1189;2486;2019;5249;3120
01.03.2013 00:00;931;1015;1603;1556;1480;2295;2287;1196;2412;2035;5013;3028
02.03.2013 00:00;672;920;1169;945;797;2351;1321;797;1412;1131;3826;1903
03.03.2013 00:00;492;501;1106;726;650;1737;1445;1140;1002;761;2583;1262
04.03.2013 00:00;991;1197;2254;1863;1748;2742;3033;1405;2828;2300;5621;3525
05.03.2013 00:00;1155;1317;2723;2100;1967;3313;3640;1811;3251;2670;6386;3891
06.03.2013 00:00;1129;1335;2726;2347;2021;3578;3751;1744;3234;2670;6646;4051
07.03.2013 00:00;1071;1238;2214;2124;1896;2909;2943;1533;3086;2549;5903;3656
08.03.2013 00:00;770;867;1284;1338;1193;1939;2026;940;1964;1545;4422;2566
09.03.2013 00:00;382;423;426;493;497;918;693;421;716;571;1964;1055
10.03.2013 00:00;200;180;272;316;282;707;184;292;432;290;1248;615
11.03.2013 00:00;597;675;1102;985;960;1555;634;624;1411;1151;2838;1691
