date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-01-01,6.9,3.5,9.1,6.9,0,233,19.4,50.4,1001.8,0
2013-01-02,5.6,4.2,7.1,1.8,0,246,20.2,40,1017.5,30
2013-01-03,8.6,6,10.6,0.9,0,257,23.8,45.7,1024.5,0
2013-01-04,8.8,6.8,9.7,0,0,276,25.2,48.2,1029.5,0
2013-01-05,7.7,6.5,8.6,0.1,0,293,20.2,41,1029.9,0
2013-01-06,7.2,5.7,8.5,0.4,0,283,19.4,40.7,1026.6,0
2013-01-07,6.6,5.5,7.5,0,0,244,9,23.8,1026.6,0
2013-01-08,7.1,6.3,7.7,6.9,0,246,14.4,31.3,1022.3,0
2013-01-09,6.6,2.9,7.8,4.6,0,257,16.2,31,1016.6,0
2013-01-10,3.1,0.2,5.1,1.2,0,303,16.9,44.6,1010.8,0
2013-01-11,-0.7,-3.6,0.8,0,0,313,9.4,23.8,1016.2,24
2013-01-12,-3.3,-6.3,1.3,0,0,8,4.3,14,1019.7,444
2013-01-13,-1.7,-4.1,-0.5,0.2,10,58,11.2,24.5,1020.4,0
2013-01-14,-4.2,-8.9,-3.5,0,20,115,10.4,23,1014.2,0
2013-01-15,-6.2,-10.9,-3.3,0,30,91,8.3,21.2,1009.3,0
2013-01-16,-4.6,-6.3,-3.7,0,30,58,9.7,20.2,1012.1,0
2013-01-17,-2.3,-4.8,-0.9,0,20,22,11.2,23.4,1018.2,0
2013-01-18,-1.6,-2.9,-0.9,0.1,30,82,15.1,40,1013.3,0
2013-01-19,-4.4,-6,-2.8,0,30,99,21.2,46.8,1004.5,0
2013-01-20,-5,-9,-1.9,0.1,20,87,22,51.5,1001.8,246
2013-01-21,-3.5,-5.9,-2.3,5,30,85,22.7,45.4,1002.6,0
2013-01-22,-5.9,-6.5,-5.3,0.3,70,89,15.8,32.4,1008.1,0
2013-01-23,-4.7,-7.5,-1.7,0,60,54,9.7,23.4,1011.4,426
2013-01-24,-2.5,-5.3,-1.6,0,60,20,14.8,28.4,1016,0
2013-01-25,-8.1,-13.1,-5.1,0,60,110,9,31.3,1020.3,432
2013-01-26,-5.4,-10.3,0.4,0.3,50,158,16.6,36.4,1010.3,12
2013-01-27,2.1,0.1,3.6,3.8,50,200,19.8,45,1001.7,0
2013-01-28,2.9,1.2,4.6,2.8,0,213,16.6,58.3,1007.8,132
2013-01-29,7.7,2.5,11.4,2.2,0,221,21.2,53.3,1002.9,0
2013-01-30,9.8,5.6,12.3,9.8,0,246,29.9,80.3,1000.4,12
2013-01-31,6.6,5.6,7.9,0.2,0,253,38.9,74.2,1005,6
2013-02-01,5.1,1.7,7.3,10.3,0,266,18.7,63,999.2,0
2013-02-02,2.7,1.3,4.6,0.3,0,312,18.7,60.5,1001.7,198
2013-02-03,3,0.9,5.6,5.4,0,266,21.6,46.1,1009.8,0
2013-02-04,6.1,4.5,9.1,5.7,0,261,27,68.8,1002.9,138
2013-02-05,2.3,-0.5,5.4,9.2,0,240,22,61.2,995.3,84
2013-02-06,0.6,-3.2,4.6,0.7,0,244,10.4,29.9,998.2,324
2013-02-07,0.7,-1.7,3,0.2,0,302,12.2,30.6,1007.1,222
2013-02-08,0.1,-1.1,0.8,0,0,337,10.4,24.5,1013.2,0
2013-02-09,-1,-6.1,1.1,0.9,0,317,7.2,29.5,1018.1,30
2013-02-10,-2.1,-6.5,1.3,0,10,124,11.5,29.5,1013.4,468
2013-02-11,-1.5,-4.7,1.1,0,0,100,22.3,46.4,1009.7,468
2013-02-12,-0.5,-2.2,2,0,0,49,15.5,33.1,1015.6,114
