date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,2.5,0.4,4.8,0,0,218,9.4,22.3,1006.5,78
2021-01-02,3.7,2.7,4.5,0,0,202,9.4,24.1,1013,0
2021-01-03,3.2,2.6,3.8,0.7,0,47,17.6,50.8,1017,7
2021-01-04,2.8,1.7,4.3,2.5,0,39,21.6,43.9,1018.5,0
2021-01-05,2.8,1.9,3.6,0.4,0,48,15.8,35.3,1018.5,0
2021-01-06,1.3,0.2,2.5,3.7,0,338,13.7,29.5,1014.7,0
2021-01-07,0.7,0.2,1.5,4.7,10,250,10.8,24.1,1010,0
2021-01-08,1.2,0.4,2.2,0.1,0,325,11.2,25.9,1013.7,0
2021-01-09,0.8,-0.6,2.3,0,0,304,7.6,24.1,1022,56
2021-01-10,2.1,-0.3,4.6,0.6,0,212,14.4,33.5,1022,188
2021-01-11,3.3,2.2,5.4,6.1,0,222,26.6,52.6,1013.4,0
2021-01-12,4.2,1.1,6.3,2.4,0,269,22.3,53.6,1004.3,218
2021-01-13,2.4,0.3,5.6,2.3,0,270,29.2,69.1,1009,149
2021-01-14,1.1,-0.2,2.1,0,0,359,15.5,38.9,1019.5,0
2021-01-15,0,-1.7,0.9,0,0,359,11.5,27,1026.8,57
2021-01-16,-0.7,-2.4,1.1,0,0,170,8.3,18.4,1023.7,3
2021-01-17,-0.2,-0.9,1.4,0.4,0,145,10.1,22.3,1017.9,0
2021-01-18,3.9,1.3,5.3,5.1,0,237,18.4,42.5,1017.4,0
2021-01-19,6.3,4.1,9.5,9.4,0,218,22.3,58.7,1004.5,0
2021-01-20,8.4,6.4,11.2,0,0,204,27,50.8,997,92
2021-01-21,7.6,5.4,11,7.6,0,188,29.5,98.3,988.9,224
2021-01-22,4.5,0.5,9.2,0,0,214,22.7,62.3,989.4,124
2021-01-23,1.9,-0.8,5.3,0.2,0,170,10.4,30.2,995.1,64
2021-01-24,0.7,-2.6,4.6,0,0,283,7.2,27,996.3,90
2021-01-25,0.2,-4.7,4.1,1,0,233,8.6,24.1,1003.1,345
2021-01-26,1.5,-0.4,4.9,1.4,0,259,9.7,38.2,1012.3,146
2021-01-27,2,0.4,4.9,0.6,0,199,13,31.3,1010.4,35
2021-01-28,1.9,0,4.6,0.1,0,34,12.6,29.5,1004.7,3
2021-01-29,-0.4,-1.5,0.2,10,10,94,19.4,43.2,995.6,0
2021-01-30,-3.1,-10.5,-0.7,0,70,44,7.2,25.9,1004.3,0
2021-01-31,-7.1,-12.1,-2.4,0,50,138,4,18,1004.3,374
2021-02-01,-3.5,-8.7,-0.7,0,50,85,10.1,23.4,996.8,0
2021-02-02,-0.4,-2.5,0.7,9.7,40,132,10.4,24.1,1000.9,0
2021-02-03,2.4,0.3,6.4,10.1,40,88,8.6,22.3,996.6,0
2021-02-04,1.2,0.8,1.7,1,20,75,10.1,20.5,1011.5,0
2021-02-05,1.3,0.3,2.5,0.3,0,90,18.4,38.2,1015.3,0
2021-02-06,-0.5,-2.6,0.3,0,0,82,28.8,63.7,1015.9,0
2021-02-07,-4.8,-6.1,-2.5,1,0,74,37.8,69.1,1008.7,0
2021-02-08,-4.6,-9.4,-2.8,0.2,90,79,24.5,55.1,1005,0
